country,city,occupation,field,years_of_experience,salary,employment_type,education_level,gender,company_size,year,month
Switzerland,Zurich,Operations Manager,Operations,16,359609,work_from_home,Master,Male,Large,2023,8
India,Bangalore,HR Analyst,Human Resources,12,79059,part_time,PhD,Male,Large,2023,5
Sweden,Stockholm,Software Engineer,Technology,10,258077,freelance,Master,Male,Enterprise,2023,9
South Korea,Seoul,Operations Manager,Operations,7,252282,part_time,Master,Female,Large,2024,12
United States,New York,Cloud Engineer,Technology,4,330618,part_time,Master,Male,Enterprise,2022,1
Mexico,Mexico City,HR Analyst,Human Resources,9,104059,work_from_home,PhD,Other,Medium,2024,4
Australia,Sydney,UX Designer,Design,24,166377,full_time,Master,Other,Small,2022,4
Australia,Sydney,Marketing Specialist,Marketing,20,188237,work_from_home,Master,Other,Medium,2023,1
United Arab Emirates,Dubai,Business Analyst,Business,5,211953,freelance,Master,Male,Medium,2023,1
India,Bangalore,Business Analyst,Business,8,86874,internship,PhD,Female,Small,2023,11
France,Paris,Marketing Specialist,Marketing,21,206701,internship,PhD,Female,Large,2024,4
United States,New York,Financial Analyst,Finance,8,281185,work_from_home,Master,Female,Small,2023,8
Mexico,Mexico City,Cloud Engineer,Technology,4,88157,work_from_home,Bachelor,Female,Medium,2025,11
United States,San Francisco,Data Scientist,Technology,1,232943,part_time,Master,Female,Large,2024,10
India,Bangalore,Operations Manager,Operations,8,103021,work_from_home,PhD,Other,Medium,2025,1
Brazil,Sao Paulo,UX Designer,Design,1,73476,work_from_home,High School,Male,Enterprise,2022,2
Mexico,Mexico City,Cloud Engineer,Technology,2,172875,freelance,PhD,Female,Enterprise,2024,10
Canada,Toronto,Software Engineer,Technology,20,254165,internship,PhD,Other,Small,2022,6
Mexico,Mexico City,Financial Analyst,Finance,12,173417,part_time,Bachelor,Female,Enterprise,2025,11
Spain,Madrid,Business Analyst,Business,9,246149,freelance,Master,Female,Large,2024,4
Italy,Milan,Data Analyst,Technology,6,126962,freelance,PhD,Male,Small,2024,2
France,Paris,UX Designer,Design,22,313011,part_time,PhD,Other,Enterprise,2023,5
United Arab Emirates,Dubai,Data Scientist,Technology,18,203660,full_time,Bachelor,Female,Medium,2022,11
New Zealand,Auckland,HR Analyst,Human Resources,10,129374,internship,High School,Other,Large,2023,12
South Korea,Seoul,HR Analyst,Human Resources,1,67694,full_time,High School,Other,Medium,2024,3
Netherlands,Amsterdam,Product Manager,Technology,12,226345,internship,Bachelor,Male,Small,2024,4
Canada,Toronto,Cloud Engineer,Technology,13,257330,part_time,High School,Other,Large,2025,12
Singapore,Singapore,HR Analyst,Human Resources,1,13576,internship,High School,Female,Small,2024,7
Netherlands,Amsterdam,Business Analyst,Business,8,191730,freelance,PhD,Male,Small,2023,5
New Zealand,Auckland,Operations Manager,Operations,20,226393,part_time,Master,Male,Large,2022,10
United States,San Francisco,Marketing Specialist,Marketing,4,134434,full_time,Master,Male,Small,2024,6
Brazil,Sao Paulo,AI Engineer,Technology,18,141608,full_time,High School,Female,Small,2022,6
United States,San Francisco,Software Engineer,Technology,25,335668,work_from_home,High School,Other,Large,2023,9
Ireland,Dublin,AI Engineer,Technology,12,284954,part_time,Bachelor,Male,Medium,2025,7
Mexico,Mexico City,Data Scientist,Technology,16,123253,work_from_home,Master,Female,Small,2022,6
South Africa,Cape Town,HR Analyst,Human Resources,9,72499,freelance,High School,Male,Large,2024,5
South Korea,Seoul,Business Analyst,Business,4,119849,full_time,High School,Female,Medium,2024,3
United States,San Francisco,Data Scientist,Technology,20,367673,part_time,Master,Male,Enterprise,2024,5
Japan,Tokyo,Business Analyst,Business,6,273992,internship,PhD,Other,Enterprise,2025,12
France,Paris,Business Analyst,Business,14,149404,freelance,Bachelor,Other,Medium,2022,7
Japan,Tokyo,AI Engineer,Technology,23,311362,part_time,High School,Other,Enterprise,2025,12
Singapore,Singapore,Data Scientist,Technology,6,148108,part_time,High School,Female,Small,2024,5
Mexico,Mexico City,Software Engineer,Technology,20,178700,work_from_home,PhD,Female,Medium,2023,10
United States,San Francisco,Marketing Specialist,Marketing,12,180382,work_from_home,Bachelor,Other,Small,2024,5
India,Bangalore,HR Analyst,Human Resources,20,81750,freelance,PhD,Male,Medium,2023,12
New Zealand,Auckland,Product Manager,Technology,9,214358,full_time,Bachelor,Male,Medium,2022,5
United States,New York,UX Designer,Design,18,238765,work_from_home,Bachelor,Other,Medium,2022,7
Netherlands,Amsterdam,AI Engineer,Technology,10,324834,work_from_home,High School,Female,Enterprise,2025,10
Brazil,Sao Paulo,AI Engineer,Technology,12,238508,freelance,PhD,Other,Medium,2025,9
Japan,Tokyo,Business Analyst,Business,3,181270,full_time,Master,Female,Large,2025,10
Canada,Toronto,AI Engineer,Technology,20,370000,part_time,Master,Other,Large,2025,6
United States,New York,Financial Analyst,Finance,15,350354,full_time,PhD,Other,Enterprise,2022,12
South Korea,Seoul,Software Engineer,Technology,4,272286,full_time,PhD,Female,Enterprise,2024,11
United States,San Francisco,Product Manager,Technology,20,370000,full_time,Bachelor,Other,Large,2024,7
Italy,Milan,UX Designer,Design,2,110145,internship,Bachelor,Other,Small,2023,6
New Zealand,Auckland,UX Designer,Design,3,135196,internship,Bachelor,Female,Enterprise,2025,1
Japan,Tokyo,Data Analyst,Technology,20,222090,full_time,Bachelor,Other,Large,2024,7
Ireland,Dublin,Financial Analyst,Finance,3,189355,internship,Bachelor,Other,Large,2025,7
United Arab Emirates,Dubai,Cloud Engineer,Technology,21,327496,work_from_home,PhD,Other,Small,2023,7
Mexico,Mexico City,Data Scientist,Technology,14,108180,internship,Master,Female,Small,2024,12
Brazil,Sao Paulo,Marketing Specialist,Marketing,8,78743,freelance,Bachelor,Male,Medium,2022,5
South Africa,Cape Town,Cloud Engineer,Technology,0,74849,full_time,High School,Female,Large,2024,8
United Kingdom,London,Data Analyst,Technology,15,202746,part_time,High School,Other,Enterprise,2025,9
South Korea,Seoul,Data Analyst,Technology,9,112843,freelance,Bachelor,Male,Small,2022,9
Canada,Toronto,Operations Manager,Operations,7,151562,internship,High School,Other,Large,2022,11
India,Bangalore,Operations Manager,Operations,18,67783,freelance,Bachelor,Other,Small,2023,8
France,Paris,Data Analyst,Technology,23,234252,work_from_home,PhD,Other,Medium,2022,1
United Kingdom,London,Data Scientist,Technology,9,233290,work_from_home,Bachelor,Female,Large,2022,8
